unit,attempt,status,request_hash,response_received,duration_ms,usage_status,reserved_estimate_rmb,usage_estimated_charge_rmb,actual_bill_rmb,source
historical_S1,1,timed_out,2f19144021fc90b19b51ec7d34e8230477558b24c989b4442fb605e821f11e12,false,180091,unknown,0.126717,,unknown,prior_trial_llm_calls_0001
initial_network_denied,1,network_denied,d5eb24aef90ff4c40c19e444953518ed1fe7d9961efc26dbc64c8a752a75b7ff,false,,unknown,0.126717,,unknown,analysis/live-budget-ledger.json
S_repeat,2,completed,d5eb24aef90ff4c40c19e444953518ed1fe7d9961efc26dbc64c8a752a75b7ff,true,8156,estimated_from_usage,0.126717,0.044157,unknown,analysis/live-budget-ledger.json
S_repeat,3,completed,d5eb24aef90ff4c40c19e444953518ed1fe7d9961efc26dbc64c8a752a75b7ff,true,8321,estimated_from_usage,0.126717,0.0177564,unknown,analysis/live-budget-ledger.json
S_repeat,4,completed,d5eb24aef90ff4c40c19e444953518ed1fe7d9961efc26dbc64c8a752a75b7ff,true,8099,estimated_from_usage,0.126717,0.0179904,unknown,analysis/live-budget-ledger.json
holdout_NP1,5,completed,2da338f3ad933ca63a76a7f6af6bd3bfd7d89406fabbff1410228128e8875612,true,1540,estimated_from_usage,0.082875,0.018846,unknown,analysis/live-budget-ledger.json
holdout_NP1,6,completed,04cd2c36353a0599b6d740d9bf4d2a7e39446442f1fb6264be85bedbbe64eb6e,true,4737,estimated_from_usage,0.090522,0.024267,unknown,analysis/live-budget-ledger.json
holdout_NP1,7,completed,2a7274002cf7355e25574d5d8c439af819666b3ce11f800a92c25bf4c9650c0b,true,2569,estimated_from_usage,0.100953,0.0225618,unknown,analysis/live-budget-ledger.json
holdout_NP1,8,completed,cea7d7b5fb656fa929b8711a79e842b21bb82c74af57d0d2a353f62324b12457,true,6794,estimated_from_usage,0.106005,0.03372,unknown,analysis/live-budget-ledger.json
holdout_NP1,9,completed,9ce448cc7e46f1de01a969ef488ae74027eb1d69f1763b15da3fad956e0a09ac,true,5626,estimated_from_usage,0.076497,0.025257,unknown,analysis/live-budget-ledger.json
holdout_NP2,10,completed,083da40288911d421bc025b959e8fb12d3ca4017127422255a9d930613560542,true,1074,estimated_from_usage,0.066399,0.013638,unknown,analysis/live-budget-ledger.json
holdout_NP2,11,completed,e78e8aacae7a2b177da759f853910c4e893dd4c26422c866d6447610189036e3,true,5344,estimated_from_usage,0.071895,0.0189138,unknown,analysis/live-budget-ledger.json
holdout_NP2,12,completed,dd7358c62623599042021f9b7925ce3f946776de2fe3ae46072988a285f851f8,true,3159,estimated_from_usage,0.085248,0.0185106,unknown,analysis/live-budget-ledger.json
holdout_NP2,13,completed,7c973c757b00507e5d7493a88d631f724b954e6fc281554bcf62486714b97665,true,7711,estimated_from_usage,0.094659,0.0270936,unknown,analysis/live-budget-ledger.json
holdout_NP2,14,completed,0d17d84191d0f5e827d8309e09121473ba5d8dd33dc30a788ac41dfaf6edae9d,true,5464,estimated_from_usage,0.061488,0.020139,unknown,analysis/live-budget-ledger.json
synthetic_control,15,completed,e85e3957365701b8c456ac82e1d8715757b86d500ff452f3baa7b2bed16ebbc1,true,2935,estimated_from_usage,0.049497,0.011319,unknown,analysis/live-budget-ledger.json
synthetic_control,16,completed,f6ddaea600ddf221188e7dd1124af4c35dbc1ff400897e16e4c8a37d415ffdc3,true,3220,estimated_from_usage,0.049083,0.010722,unknown,analysis/live-budget-ledger.json
synthetic_control,17,completed,7b903fabaeb558154c502c897dcd27950d11ba9e811254982d9cf0d76512f1b3,true,3057,estimated_from_usage,0.049443,0.0100398,unknown,analysis/live-budget-ledger.json
synthetic_control,18,completed,c92593885c623e17ac1127b20d4c0f04c60f53d11349a8bde07986f2fe643ed8,true,3320,estimated_from_usage,0.050988,0.0102936,unknown,analysis/live-budget-ledger.json
